"original.sound.files","sound.files","start","end"
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-1.wav",0,300
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-2.wav",300,600
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-3.wav",600,900
"D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_08-53-54_0000003 id116-4.wav",900,1048.28109
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-1.wav",0,300
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-2.wav",300,600
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-3.wav",600,900
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 105-4.wav",900,1045.200895
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005-1.wav",0,300
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005-2.wav",300,600
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005-3.wav",600,900
"D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005.wav","D_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005-4.wav",900,1061.912575
