"sound.files","start","end","counts","duration","rate","minute"
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",960,1020,18,60,0.3,17
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-18-15_0000004 id 144.wav",1020,1045.200895,0,25.2008949999999,0,18
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",0,60,0,60,0,1
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",60,120,0,60,0,2
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",120,180,96,60,1.6,3
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",180,240,104,60,1.73333333333333,4
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",240,300,85,60,1.41666666666667,5
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",300,360,57,60,0.95,6
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",360,420,32,60,0.533333333333333,7
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",420,480,22,60,0.366666666666667,8
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",480,540,61,60,1.01666666666667,9
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",540,600,41,60,0.683333333333333,10
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",600,660,28,60,0.466666666666667,11
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",660,720,70,60,1.16666666666667,12
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",720,780,16,60,0.266666666666667,13
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",780,840,25,60,0.416666666666667,14
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",840,900,27,60,0.45,15
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",900,960,4,60,0.0666666666666667,16
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",960,1020,2,60,0.0333333333333333,17
"A_Interaccion_social_M2Cuido_Materno2023-09-27_09-41-51_0000005 id 103.wav",1020,1061.912575,16,41.9125750000001,0.381747005522805,18
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",0,60,0,60,0,1
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",60,120,0,60,0,2
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",120,180,0,60,0,3
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",180,240,1,60,0.0166666666666667,4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",240,300,3,60,0.05,5
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-14-59_0000001id 101.wav",300,300.875775,0,0.875774999999976,0,6
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",0,60,0,60,0,1
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",60,120,0,60,0,2
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",120,180,0,60,0,3
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",180,240,0,60,0,4
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",240,300,0,60,0,5
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-24-11_0000002 id 115.wav",300,300.77747,0,0.777469999999994,0,6
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",0,60,9,60,0.15,1
"B_Campo_Abierto_M2Cuido_Materno2023-09-27_10-33-21_0000003 id 110.wav",60,120,1,60,0.0166666666666667,2
